"","RegionName","BedroomCnt","State","City","CountyName","Price","Year","Month","date","station_open","zip_in_2014","zip_in_2022"
"7620",20024,2,"DC","Washington","District of Columbia",489872.019620976,2017,11,"2017-11-01",1,0,0
"7621",20024,2,"DC","Washington","District of Columbia",493711.195028493,2017,12,"2017-12-01",1,0,0
"7622",20024,2,"DC","Washington","District of Columbia",499459.408630119,2018,1,"2018-01-01",1,0,0
"7623",20024,2,"DC","Washington","District of Columbia",506722.226840281,2018,2,"2018-02-01",1,0,0
"7624",20024,2,"DC","Washington","District of Columbia",515315.493425611,2018,3,"2018-03-01",1,0,0
"7625",20024,2,"DC","Washington","District of Columbia",522767.141924423,2018,4,"2018-04-01",1,0,0
"7626",20024,2,"DC","Washington","District of Columbia",527900.256347086,2018,5,"2018-05-01",1,0,0
"7627",20024,2,"DC","Washington","District of Columbia",530190.325363533,2018,6,"2018-06-01",1,0,0
"7628",20024,2,"DC","Washington","District of Columbia",531161.383675519,2018,7,"2018-07-01",1,0,0
"7629",20024,2,"DC","Washington","District of Columbia",532380.458754284,2018,8,"2018-08-01",1,0,0
"7630",20024,2,"DC","Washington","District of Columbia",533406.266492387,2018,9,"2018-09-01",1,0,0
"7631",20024,2,"DC","Washington","District of Columbia",534998.858282702,2018,10,"2018-10-01",1,0,0
"7632",20024,2,"DC","Washington","District of Columbia",537218.037744808,2018,11,"2018-11-01",1,0,0
"7633",20024,2,"DC","Washington","District of Columbia",538549.213721799,2018,12,"2018-12-01",1,0,0
"7634",20024,2,"DC","Washington","District of Columbia",539446.271564783,2019,1,"2019-01-01",1,0,0
"7635",20024,2,"DC","Washington","District of Columbia",538941.550214484,2019,2,"2019-02-01",1,0,0
"7636",20024,2,"DC","Washington","District of Columbia",540459.891454841,2019,3,"2019-03-01",1,0,0
"7637",20024,2,"DC","Washington","District of Columbia",542955.64145583,2019,4,"2019-04-01",1,0,0
"7638",20024,2,"DC","Washington","District of Columbia",545067.536149545,2019,5,"2019-05-01",1,0,0
"7639",20024,2,"DC","Washington","District of Columbia",546155.126363145,2019,6,"2019-06-01",1,0,0
"7640",20024,2,"DC","Washington","District of Columbia",546157.287175584,2019,7,"2019-07-01",1,0,0
"7641",20024,2,"DC","Washington","District of Columbia",545896.702348149,2019,8,"2019-08-01",1,0,0
"7642",20024,2,"DC","Washington","District of Columbia",545521.228577818,2019,9,"2019-09-01",1,0,0
"7643",20024,2,"DC","Washington","District of Columbia",545753.067747539,2019,10,"2019-10-01",1,0,0
"7644",20024,2,"DC","Washington","District of Columbia",547441.535482049,2019,11,"2019-11-01",1,0,0
"7645",20024,2,"DC","Washington","District of Columbia",549455.567271867,2019,12,"2019-12-01",1,0,0
"7646",20024,2,"DC","Washington","District of Columbia",553447.847677502,2020,1,"2020-01-01",1,0,0
